model,run_label,training_seed,sample_id,source_filename,wt_evanyseg_predicted_dice,condition_adherence_dice,predicted_tumour_voxels_lowres,predicted_tumour_fraction_lowres,mean_probability_inside_prediction,empty_prediction
conditional_ddpm_v3,v2,2027,0000,conditional_ddpm_v3_0000.nii.gz,0.88720703125,0.9152608674392865,10798,0.011587826236263737,0.981986403465271,False
conditional_ddpm_v3,v2,2027,0001,conditional_ddpm_v3_0001.nii.gz,0.92333984375,0.918737732145578,17173,0.018429129464285713,0.980901300907135,False
conditional_ddpm_v3,v2,2027,0002,conditional_ddpm_v3_0002.nii.gz,0.83740234375,0.8948511258514844,17965,0.019279060782967032,0.9789862632751465,False
conditional_ddpm_v3,v2,2027,0003,conditional_ddpm_v3_0003.nii.gz,0.88623046875,0.9372920862658269,22252,0.023879635989010987,0.984056293964386,False
conditional_ddpm_v3,v2,2027,0004,conditional_ddpm_v3_0004.nii.gz,0.9072265625,0.8604579735863699,15957,0.01712418440934066,0.9831469655036926,False
conditional_ddpm_v3,v2,2027,0005,conditional_ddpm_v3_0005.nii.gz,0.875,0.9513615820130935,30954,0.03321814903846154,0.9843893647193909,False
conditional_ddpm_v3,v2,2027,0006,conditional_ddpm_v3_0006.nii.gz,0.85693359375,0.7618748527912681,7785,0.00835443853021978,0.964921772480011,False
conditional_ddpm_v3,v2,2027,0007,conditional_ddpm_v3_0007.nii.gz,0.90673828125,0.8645347691903902,23522,0.025242530906593407,0.9768987894058228,False
conditional_ddpm_v3,v2,2027,0008,conditional_ddpm_v3_0008.nii.gz,0.77880859375,0.28731367571484256,13016,0.013968063186813187,0.9681330919265747,False
conditional_ddpm_v3,v2,2027,0009,conditional_ddpm_v3_0009.nii.gz,0.81103515625,0.36606146668051215,15661,0.01680653331043956,0.9664580225944519,False
conditional_ddpm_v3,v2,2027,0010,conditional_ddpm_v3_0010.nii.gz,0.80859375,0.7353544310814525,11164,0.011980597527472528,0.9766591787338257,False
conditional_ddpm_v3,v2,2027,0011,conditional_ddpm_v3_0011.nii.gz,0.82958984375,0.611588075413257,15809,0.01696535885989011,0.973696231842041,False
conditional_ddpm_v3,v2,2027,0012,conditional_ddpm_v3_0012.nii.gz,0.91552734375,0.926494886794997,22863,0.024535327953296705,0.979615330696106,False
conditional_ddpm_v3,v2,2027,0013,conditional_ddpm_v3_0013.nii.gz,0.91455078125,0.9072948328267705,21572,0.02314989697802198,0.979295551776886,False
conditional_ddpm_v3,v2,2027,0014,conditional_ddpm_v3_0014.nii.gz,0.830078125,0.2586624539235078,16417,0.01761783138736264,0.9628872871398926,False
conditional_ddpm_v3,v2,2027,0015,conditional_ddpm_v3_0015.nii.gz,0.8544921875,0.7047383508516372,22190,0.02381310096153846,0.9743104577064514,False
conditional_ddpm_v3,v2,2027,0016,conditional_ddpm_v3_0016.nii.gz,0.77490234375,0.5156316916491186,11992,0.012869162087912087,0.9637958407402039,False
conditional_ddpm_v3,v2,2027,0017,conditional_ddpm_v3_0017.nii.gz,0.89453125,0.8970065075922355,12233,0.013127790178571429,0.9780076146125793,False
conditional_ddpm_v3,v2,2027,0018,conditional_ddpm_v3_0018.nii.gz,0.84765625,0.2530429742488809,20742,0.022259186126373627,0.9706214070320129,False
conditional_ddpm_v3,v2,2027,0019,conditional_ddpm_v3_0019.nii.gz,0.90380859375,0.7768428659922113,22815,0.024483816964285716,0.9789000749588013,False
conditional_ddpm_v3,v2,2027,0020,conditional_ddpm_v3_0020.nii.gz,0.9228515625,0.9308895752113991,19226,0.02063229739010989,0.9824631214141846,False
conditional_ddpm_v3,v2,2027,0021,conditional_ddpm_v3_0021.nii.gz,0.92431640625,0.9319384820572951,12532,0.013448660714285715,0.9845730662345886,False
conditional_ddpm_v3,v2,2027,0022,conditional_ddpm_v3_0022.nii.gz,0.88427734375,0.2768395901675467,21059,0.022599373282967034,0.9743078351020813,False
conditional_ddpm_v3,v2,2027,0023,conditional_ddpm_v3_0023.nii.gz,0.7978515625,0.6124711316401703,5975,0.006412044986263736,0.9731313586235046,False
conditional_ddpm_v3,v2,2027,0024,conditional_ddpm_v3_0024.nii.gz,0.814453125,0.5382470290447732,16730,0.01795372596153846,0.9657249450683594,False
conditional_ddpm_v3,v2,2027,0025,conditional_ddpm_v3_0025.nii.gz,0.9208984375,0.9112088035169515,18816,0.020192307692307693,0.9791342616081238,False
conditional_ddpm_v3,v2,2027,0026,conditional_ddpm_v3_0026.nii.gz,0.8857421875,0.9052266116168222,11458,0.012296102335164835,0.9823187589645386,False
conditional_ddpm_v3,v2,2027,0027,conditional_ddpm_v3_0027.nii.gz,0.73046875,0.598470226606763,18344,0.019685782967032966,0.968275249004364,False
conditional_ddpm_v3,v2,2027,0028,conditional_ddpm_v3_0028.nii.gz,0.86767578125,0.7423257743363723,17245,0.018506395947802196,0.9746261239051819,False
