model,sample_id,source_filename,source_path,lowres_cache,run_label,training_seed
ddpm_v5,0000,ddpm_v5_0000.nii.gz,/users/tdd540/Capstone_Project/evaluation_200/ddpm_v5/ddpm_v5_0000.nii.gz,/users/tdd540/Capstone_Project/downstream_cache/synthetic_lowres/ddpm_v5/0000.npz,v2,2027
ddpm_v5,0001,ddpm_v5_0001.nii.gz,/users/tdd540/Capstone_Project/evaluation_200/ddpm_v5/ddpm_v5_0001.nii.gz,/users/tdd540/Capstone_Project/downstream_cache/synthetic_lowres/ddpm_v5/0001.npz,v2,2027
ddpm_v5,0002,ddpm_v5_0002.nii.gz,/users/tdd540/Capstone_Project/evaluation_200/ddpm_v5/ddpm_v5_0002.nii.gz,/users/tdd540/Capstone_Project/downstream_cache/synthetic_lowres/ddpm_v5/0002.npz,v2,2027
ddpm_v5,0003,ddpm_v5_0003.nii.gz,/users/tdd540/Capstone_Project/evaluation_200/ddpm_v5/ddpm_v5_0003.nii.gz,/users/tdd540/Capstone_Project/downstream_cache/synthetic_lowres/ddpm_v5/0003.npz,v2,2027
ddpm_v5,0004,ddpm_v5_0004.nii.gz,/users/tdd540/Capstone_Project/evaluation_200/ddpm_v5/ddpm_v5_0004.nii.gz,/users/tdd540/Capstone_Project/downstream_cache/synthetic_lowres/ddpm_v5/0004.npz,v2,2027
ddpm_v5,0005,ddpm_v5_0005.nii.gz,/users/tdd540/Capstone_Project/evaluation_200/ddpm_v5/ddpm_v5_0005.nii.gz,/users/tdd540/Capstone_Project/downstream_cache/synthetic_lowres/ddpm_v5/0005.npz,v2,2027
ddpm_v5,0006,ddpm_v5_0006.nii.gz,/users/tdd540/Capstone_Project/evaluation_200/ddpm_v5/ddpm_v5_0006.nii.gz,/users/tdd540/Capstone_Project/downstream_cache/synthetic_lowres/ddpm_v5/0006.npz,v2,2027
ddpm_v5,0007,ddpm_v5_0007.nii.gz,/users/tdd540/Capstone_Project/evaluation_200/ddpm_v5/ddpm_v5_0007.nii.gz,/users/tdd540/Capstone_Project/downstream_cache/synthetic_lowres/ddpm_v5/0007.npz,v2,2027
ddpm_v5,0008,ddpm_v5_0008.nii.gz,/users/tdd540/Capstone_Project/evaluation_200/ddpm_v5/ddpm_v5_0008.nii.gz,/users/tdd540/Capstone_Project/downstream_cache/synthetic_lowres/ddpm_v5/0008.npz,v2,2027
ddpm_v5,0009,ddpm_v5_0009.nii.gz,/users/tdd540/Capstone_Project/evaluation_200/ddpm_v5/ddpm_v5_0009.nii.gz,/users/tdd540/Capstone_Project/downstream_cache/synthetic_lowres/ddpm_v5/0009.npz,v2,2027
ddpm_v5,0010,ddpm_v5_0010.nii.gz,/users/tdd540/Capstone_Project/evaluation_200/ddpm_v5/ddpm_v5_0010.nii.gz,/users/tdd540/Capstone_Project/downstream_cache/synthetic_lowres/ddpm_v5/0010.npz,v2,2027
ddpm_v5,0011,ddpm_v5_0011.nii.gz,/users/tdd540/Capstone_Project/evaluation_200/ddpm_v5/ddpm_v5_0011.nii.gz,/users/tdd540/Capstone_Project/downstream_cache/synthetic_lowres/ddpm_v5/0011.npz,v2,2027
ddpm_v5,0012,ddpm_v5_0012.nii.gz,/users/tdd540/Capstone_Project/evaluation_200/ddpm_v5/ddpm_v5_0012.nii.gz,/users/tdd540/Capstone_Project/downstream_cache/synthetic_lowres/ddpm_v5/0012.npz,v2,2027
ddpm_v5,0013,ddpm_v5_0013.nii.gz,/users/tdd540/Capstone_Project/evaluation_200/ddpm_v5/ddpm_v5_0013.nii.gz,/users/tdd540/Capstone_Project/downstream_cache/synthetic_lowres/ddpm_v5/0013.npz,v2,2027
ddpm_v5,0014,ddpm_v5_0014.nii.gz,/users/tdd540/Capstone_Project/evaluation_200/ddpm_v5/ddpm_v5_0014.nii.gz,/users/tdd540/Capstone_Project/downstream_cache/synthetic_lowres/ddpm_v5/0014.npz,v2,2027
ddpm_v5,0015,ddpm_v5_0015.nii.gz,/users/tdd540/Capstone_Project/evaluation_200/ddpm_v5/ddpm_v5_0015.nii.gz,/users/tdd540/Capstone_Project/downstream_cache/synthetic_lowres/ddpm_v5/0015.npz,v2,2027
ddpm_v5,0016,ddpm_v5_0016.nii.gz,/users/tdd540/Capstone_Project/evaluation_200/ddpm_v5/ddpm_v5_0016.nii.gz,/users/tdd540/Capstone_Project/downstream_cache/synthetic_lowres/ddpm_v5/0016.npz,v2,2027
ddpm_v5,0017,ddpm_v5_0017.nii.gz,/users/tdd540/Capstone_Project/evaluation_200/ddpm_v5/ddpm_v5_0017.nii.gz,/users/tdd540/Capstone_Project/downstream_cache/synthetic_lowres/ddpm_v5/0017.npz,v2,2027
ddpm_v5,0018,ddpm_v5_0018.nii.gz,/users/tdd540/Capstone_Project/evaluation_200/ddpm_v5/ddpm_v5_0018.nii.gz,/users/tdd540/Capstone_Project/downstream_cache/synthetic_lowres/ddpm_v5/0018.npz,v2,2027
ddpm_v5,0019,ddpm_v5_0019.nii.gz,/users/tdd540/Capstone_Project/evaluation_200/ddpm_v5/ddpm_v5_0019.nii.gz,/users/tdd540/Capstone_Project/downstream_cache/synthetic_lowres/ddpm_v5/0019.npz,v2,2027
ddpm_v5,0020,ddpm_v5_0020.nii.gz,/users/tdd540/Capstone_Project/evaluation_200/ddpm_v5/ddpm_v5_0020.nii.gz,/users/tdd540/Capstone_Project/downstream_cache/synthetic_lowres/ddpm_v5/0020.npz,v2,2027
ddpm_v5,0021,ddpm_v5_0021.nii.gz,/users/tdd540/Capstone_Project/evaluation_200/ddpm_v5/ddpm_v5_0021.nii.gz,/users/tdd540/Capstone_Project/downstream_cache/synthetic_lowres/ddpm_v5/0021.npz,v2,2027
ddpm_v5,0022,ddpm_v5_0022.nii.gz,/users/tdd540/Capstone_Project/evaluation_200/ddpm_v5/ddpm_v5_0022.nii.gz,/users/tdd540/Capstone_Project/downstream_cache/synthetic_lowres/ddpm_v5/0022.npz,v2,2027
ddpm_v5,0023,ddpm_v5_0023.nii.gz,/users/tdd540/Capstone_Project/evaluation_200/ddpm_v5/ddpm_v5_0023.nii.gz,/users/tdd540/Capstone_Project/downstream_cache/synthetic_lowres/ddpm_v5/0023.npz,v2,2027
ddpm_v5,0024,ddpm_v5_0024.nii.gz,/users/tdd540/Capstone_Project/evaluation_200/ddpm_v5/ddpm_v5_0024.nii.gz,/users/tdd540/Capstone_Project/downstream_cache/synthetic_lowres/ddpm_v5/0024.npz,v2,2027
ddpm_v5,0025,ddpm_v5_0025.nii.gz,/users/tdd540/Capstone_Project/evaluation_200/ddpm_v5/ddpm_v5_0025.nii.gz,/users/tdd540/Capstone_Project/downstream_cache/synthetic_lowres/ddpm_v5/0025.npz,v2,2027
ddpm_v5,0026,ddpm_v5_0026.nii.gz,/users/tdd540/Capstone_Project/evaluation_200/ddpm_v5/ddpm_v5_0026.nii.gz,/users/tdd540/Capstone_Project/downstream_cache/synthetic_lowres/ddpm_v5/0026.npz,v2,2027
ddpm_v5,0027,ddpm_v5_0027.nii.gz,/users/tdd540/Capstone_Project/evaluation_200/ddpm_v5/ddpm_v5_0027.nii.gz,/users/tdd540/Capstone_Project/downstream_cache/synthetic_lowres/ddpm_v5/0027.npz,v2,2027
