synthetic_index,synthetic_identifier,authentic,nearest_training_index,nearest_training_identifier,synthetic_nearest_distance,training_nn_radius
0,ddpm_v5_0000.nii.gz,True,597,BraTS-GLI-00751-001,8.9596080566562,3.8439554849733213
1,ddpm_v5_0001.nii.gz,True,288,BraTS-GLI-01389-000,9.012968438860854,6.9423989689923085
2,ddpm_v5_0002.nii.gz,True,588,BraTS-GLI-00598-000,8.906080538006956,6.891678192942716
3,ddpm_v5_0003.nii.gz,True,594,BraTS-GLI-01100-000,9.494394536877824,8.828076214842786
4,ddpm_v5_0004.nii.gz,True,594,BraTS-GLI-01100-000,14.544635552194382,8.828076214842786
5,ddpm_v5_0005.nii.gz,True,288,BraTS-GLI-01389-000,9.634342390680885,6.9423989689923085
6,ddpm_v5_0006.nii.gz,True,87,BraTS-GLI-01106-000,10.55580590109461,7.621050376574811
7,ddpm_v5_0007.nii.gz,True,70,BraTS-GLI-01117-000,9.216192197473157,6.67589820553627
8,ddpm_v5_0008.nii.gz,False,87,BraTS-GLI-01106-000,6.996726123421985,7.621050376574811
9,ddpm_v5_0009.nii.gz,True,102,BraTS-GLI-00568-000,8.279722029960272,5.150180698565712
10,ddpm_v5_0010.nii.gz,True,102,BraTS-GLI-00568-000,8.259686244461331,5.150180698565712
11,ddpm_v5_0011.nii.gz,True,683,BraTS-GLI-00036-001,10.832667491751032,7.975253525191843
12,ddpm_v5_0012.nii.gz,True,70,BraTS-GLI-01117-000,10.247141517388297,6.67589820553627
13,ddpm_v5_0013.nii.gz,True,461,BraTS-GLI-00558-001,9.343202757975094,6.234779603376343
14,ddpm_v5_0014.nii.gz,True,13,BraTS-GLI-00683-001,8.676865736051248,5.266584969583746
15,ddpm_v5_0015.nii.gz,True,32,BraTS-GLI-00061-000,10.087887808928086,7.088286482280797
16,ddpm_v5_0016.nii.gz,True,172,BraTS-GLI-01663-000,10.634014483442373,8.03188084319579
17,ddpm_v5_0017.nii.gz,True,520,BraTS-GLI-00675-000,11.3941913223623,6.717647308966922
18,ddpm_v5_0018.nii.gz,True,110,BraTS-GLI-00528-000,6.837669675830986,5.274671626434665
19,ddpm_v5_0019.nii.gz,True,927,BraTS-GLI-01019-000,5.764479759695038,4.2606696013039285
20,ddpm_v5_0020.nii.gz,True,102,BraTS-GLI-00568-000,9.628786896613079,5.150180698565712
21,ddpm_v5_0021.nii.gz,True,940,BraTS-GLI-00683-000,8.064654613358735,4.905802252302844
22,ddpm_v5_0022.nii.gz,True,856,BraTS-GLI-00751-000,8.489283022053652,6.447031689910758
23,ddpm_v5_0023.nii.gz,True,588,BraTS-GLI-00598-000,9.251021114565585,6.891678192942716
24,ddpm_v5_0024.nii.gz,True,110,BraTS-GLI-00528-000,9.145531438593919,5.274671626434665
25,ddpm_v5_0025.nii.gz,True,683,BraTS-GLI-00036-001,9.849795931725323,7.975253525191843
26,ddpm_v5_0026.nii.gz,True,110,BraTS-GLI-00528-000,9.409780296179484,5.274671626434665
27,ddpm_v5_0027.nii.gz,True,288,BraTS-GLI-01389-000,9.84392753130803,6.9423989689923085
28,ddpm_v5_0028.nii.gz,True,102,BraTS-GLI-00568-000,7.12524267606183,5.150180698565712
29,ddpm_v5_0029.nii.gz,True,102,BraTS-GLI-00568-000,7.890447277783207,5.150180698565712
30,ddpm_v5_0030.nii.gz,True,32,BraTS-GLI-00061-000,9.732010642241846,7.088286482280797
31,ddpm_v5_0031.nii.gz,True,855,BraTS-GLI-00744-000,8.732500941400895,4.240232444908606
32,ddpm_v5_0032.nii.gz,True,288,BraTS-GLI-01389-000,10.046739044733515,6.9423989689923085
33,ddpm_v5_0033.nii.gz,True,313,BraTS-GLI-00703-000,9.30842053166216,6.545767751452976
34,ddpm_v5_0034.nii.gz,True,102,BraTS-GLI-00568-000,10.523293175385042,5.150180698565712
35,ddpm_v5_0035.nii.gz,True,940,BraTS-GLI-00683-000,8.435087824505882,4.905802252302844
36,ddpm_v5_0036.nii.gz,True,856,BraTS-GLI-00751-000,7.365879645642852,6.447031689910758
37,ddpm_v5_0037.nii.gz,True,313,BraTS-GLI-00703-000,11.09504475631259,6.545767751452976
38,ddpm_v5_0038.nii.gz,True,308,BraTS-GLI-00513-000,7.8865906672570425,6.8058606707260605
39,ddpm_v5_0039.nii.gz,True,927,BraTS-GLI-01019-000,7.225674636085871,4.2606696013039285
40,ddpm_v5_0040.nii.gz,True,855,BraTS-GLI-00744-000,9.445563415211971,4.240232444908606
41,ddpm_v5_0041.nii.gz,True,172,BraTS-GLI-01663-000,10.775358094941692,8.03188084319579
42,ddpm_v5_0042.nii.gz,False,426,BraTS-GLI-00625-000,8.347190364957147,9.237803397756629
43,ddpm_v5_0043.nii.gz,True,655,BraTS-GLI-01098-000,9.962139385602464,5.058064115361171
44,ddpm_v5_0044.nii.gz,True,157,BraTS-GLI-00707-000,10.42897974697818,6.122260778016435
45,ddpm_v5_0045.nii.gz,True,313,BraTS-GLI-00703-000,8.755723801852739,6.545767751452976
46,ddpm_v5_0046.nii.gz,True,288,BraTS-GLI-01389-000,11.736298511286087,6.9423989689923085
47,ddpm_v5_0047.nii.gz,True,808,BraTS-GLI-00580-000,9.904261846775675,5.588571708203965
48,ddpm_v5_0048.nii.gz,True,315,BraTS-GLI-00063-000,9.873225403821953,6.416562038474917
49,ddpm_v5_0049.nii.gz,True,927,BraTS-GLI-01019-000,8.367391202496504,4.2606696013039285
50,ddpm_v5_0050.nii.gz,True,652,BraTS-GLI-00053-001,9.38221965090082,9.247470791923496
51,ddpm_v5_0051.nii.gz,True,313,BraTS-GLI-00703-000,11.098323090328693,6.545767751452976
52,ddpm_v5_0052.nii.gz,True,292,BraTS-GLI-00032-000,10.42764625423733,8.629450153753266
53,ddpm_v5_0053.nii.gz,True,905,BraTS-GLI-00286-000,10.290454645740828,6.18304461090266
54,ddpm_v5_0054.nii.gz,True,556,BraTS-GLI-00464-001,8.730477295603983,4.2736724487295445
55,ddpm_v5_0055.nii.gz,True,52,BraTS-GLI-00692-000,9.921973999261855,7.086399935195018
56,ddpm_v5_0056.nii.gz,True,70,BraTS-GLI-01117-000,10.051704470053586,6.67589820553627
57,ddpm_v5_0057.nii.gz,False,652,BraTS-GLI-00053-001,8.787199102126248,9.247470791923496
58,ddpm_v5_0058.nii.gz,True,958,BraTS-GLI-00193-000,10.918804992772287,8.968855731494857
59,ddpm_v5_0059.nii.gz,True,856,BraTS-GLI-00751-000,8.01985092852085,6.447031689910758
60,ddpm_v5_0060.nii.gz,True,927,BraTS-GLI-01019-000,9.895633059156944,4.2606696013039285
61,ddpm_v5_0061.nii.gz,True,102,BraTS-GLI-00568-000,8.883601440663575,5.150180698565712
62,ddpm_v5_0062.nii.gz,True,102,BraTS-GLI-00568-000,6.899554369065474,5.150180698565712
63,ddpm_v5_0063.nii.gz,True,216,BraTS-GLI-01160-000,8.21000082259693,5.7512024919101234
64,ddpm_v5_0064.nii.gz,True,927,BraTS-GLI-01019-000,8.543259515053274,4.2606696013039285
65,ddpm_v5_0065.nii.gz,False,652,BraTS-GLI-00053-001,6.851739425080547,9.247470791923496
66,ddpm_v5_0066.nii.gz,True,683,BraTS-GLI-00036-001,9.527797074132147,7.975253525191843
67,ddpm_v5_0067.nii.gz,True,691,BraTS-GLI-01532-000,11.805865368377125,9.862648372624564
68,ddpm_v5_0068.nii.gz,True,588,BraTS-GLI-00598-000,9.377247084004232,6.891678192942716
69,ddpm_v5_0069.nii.gz,True,927,BraTS-GLI-01019-000,8.66541496847915,4.2606696013039285
70,ddpm_v5_0070.nii.gz,True,381,BraTS-GLI-01107-000,10.080492998985955,7.975253525191843
71,ddpm_v5_0071.nii.gz,True,172,BraTS-GLI-01663-000,9.63797854473558,8.03188084319579
72,ddpm_v5_0072.nii.gz,True,313,BraTS-GLI-00703-000,11.248385829245619,6.545767751452976
73,ddpm_v5_0073.nii.gz,True,421,BraTS-GLI-01150-000,9.032487405225847,5.098653670076364
74,ddpm_v5_0074.nii.gz,True,102,BraTS-GLI-00568-000,9.744350831993653,5.150180698565712
75,ddpm_v5_0075.nii.gz,True,461,BraTS-GLI-00558-001,9.676511706903582,6.234779603376343
76,ddpm_v5_0076.nii.gz,True,723,BraTS-GLI-00452-000,10.778701807409037,8.449644595833478
77,ddpm_v5_0077.nii.gz,True,927,BraTS-GLI-01019-000,8.920099003139818,4.2606696013039285
78,ddpm_v5_0078.nii.gz,True,855,BraTS-GLI-00744-000,9.094440448683288,4.240232444908606
79,ddpm_v5_0079.nii.gz,True,292,BraTS-GLI-00032-000,12.124881788654058,8.629450153753266
80,ddpm_v5_0080.nii.gz,True,102,BraTS-GLI-00568-000,6.522843378156681,5.150180698565712
81,ddpm_v5_0081.nii.gz,True,70,BraTS-GLI-01117-000,10.799973345955575,6.67589820553627
82,ddpm_v5_0082.nii.gz,True,859,BraTS-GLI-01094-000,8.651052062071086,8.598609039934074
83,ddpm_v5_0083.nii.gz,True,927,BraTS-GLI-01019-000,7.096759400050707,4.2606696013039285
84,ddpm_v5_0084.nii.gz,True,652,BraTS-GLI-00053-001,9.947655083889247,9.247470791923496
85,ddpm_v5_0085.nii.gz,True,594,BraTS-GLI-01100-000,12.529822680549904,8.828076214842786
86,ddpm_v5_0086.nii.gz,True,652,BraTS-GLI-00053-001,9.256157566573052,9.247470791923496
87,ddpm_v5_0087.nii.gz,True,571,BraTS-GLI-00072-000,9.565628131407493,5.438514198093239
88,ddpm_v5_0088.nii.gz,True,172,BraTS-GLI-01663-000,8.86595419943705,8.03188084319579
89,ddpm_v5_0089.nii.gz,True,927,BraTS-GLI-01019-000,7.9048278040685,4.2606696013039285
90,ddpm_v5_0090.nii.gz,True,102,BraTS-GLI-00568-000,7.933128438368741,5.150180698565712
91,ddpm_v5_0091.nii.gz,True,940,BraTS-GLI-00683-000,8.311259288509593,4.905802252302844
92,ddpm_v5_0092.nii.gz,True,463,BraTS-GLI-01160-001,8.81648540930838,6.144673043848073
93,ddpm_v5_0093.nii.gz,True,381,BraTS-GLI-01107-000,8.285364530020425,7.975253525191843
94,ddpm_v5_0094.nii.gz,True,738,BraTS-GLI-00052-000,9.181351733775056,8.388979647189055
95,ddpm_v5_0095.nii.gz,True,855,BraTS-GLI-00744-000,8.700178708768474,4.240232444908606
96,ddpm_v5_0096.nii.gz,True,110,BraTS-GLI-00528-000,8.377831530462714,5.274671626434665
97,ddpm_v5_0097.nii.gz,True,102,BraTS-GLI-00568-000,8.111616433127153,5.150180698565712
98,ddpm_v5_0098.nii.gz,True,588,BraTS-GLI-00598-000,8.669959911977775,6.891678192942716
99,ddpm_v5_0099.nii.gz,True,32,BraTS-GLI-00061-000,9.02434426342815,7.088286482280797
100,ddpm_v5_0100.nii.gz,True,652,BraTS-GLI-00053-001,12.6620162361239,9.247470791923496
101,ddpm_v5_0101.nii.gz,True,594,BraTS-GLI-01100-000,11.916669194511009,8.828076214842786
102,ddpm_v5_0102.nii.gz,True,102,BraTS-GLI-00568-000,5.222120134560166,5.150180698565712
103,ddpm_v5_0103.nii.gz,True,110,BraTS-GLI-00528-000,10.275908855117438,5.274671626434665
104,ddpm_v5_0104.nii.gz,True,313,BraTS-GLI-00703-000,10.670545630993878,6.545767751452976
105,ddpm_v5_0105.nii.gz,True,292,BraTS-GLI-00032-000,10.138434941883594,8.629450153753266
106,ddpm_v5_0106.nii.gz,True,652,BraTS-GLI-00053-001,11.316555518675145,9.247470791923496
107,ddpm_v5_0107.nii.gz,True,588,BraTS-GLI-00598-000,9.024761347759634,6.891678192942716
108,ddpm_v5_0108.nii.gz,True,32,BraTS-GLI-00061-000,9.581520329761405,7.088286482280797
109,ddpm_v5_0109.nii.gz,True,292,BraTS-GLI-00032-000,11.022750101131876,8.629450153753266
110,ddpm_v5_0110.nii.gz,True,70,BraTS-GLI-01117-000,9.720688480864034,6.67589820553627
111,ddpm_v5_0111.nii.gz,True,70,BraTS-GLI-01117-000,11.860253478642868,6.67589820553627
112,ddpm_v5_0112.nii.gz,True,308,BraTS-GLI-00513-000,11.373607972754462,6.8058606707260605
113,ddpm_v5_0113.nii.gz,True,655,BraTS-GLI-01098-000,8.369798268686777,5.058064115361171
114,ddpm_v5_0114.nii.gz,True,770,BraTS-GLI-00819-000,10.320711956510321,7.061528681145508
