dataset,filename,valid_shape,all_finite,within_0_1,min,max,mean,std
real,real_0000.nii.gz,True,True,True,0.0,1.0,0.07430420815944672,0.15475264191627502
real,real_0001.nii.gz,True,True,True,0.0,1.0,0.08417875319719315,0.1892726719379425
real,real_0002.nii.gz,True,True,True,0.0,1.0,0.07780778408050537,0.16338995099067688
real,real_0003.nii.gz,True,True,True,0.0,1.0,0.06995132565498352,0.15936900675296783
real,real_0004.nii.gz,True,True,True,0.0,1.0,0.07474946230649948,0.15150035917758942
real,real_0005.nii.gz,True,True,True,0.0,1.0,0.11819037795066833,0.24071693420410156
real,real_0006.nii.gz,True,True,True,0.0,1.0,0.05392400547862053,0.12527720630168915
real,real_0007.nii.gz,True,True,True,0.0,1.0,0.11301633715629578,0.22240714728832245
real,real_0008.nii.gz,True,True,True,0.0,1.0,0.07177085429430008,0.1616675704717636
real,real_0009.nii.gz,True,True,True,0.0,1.0,0.08148312568664551,0.16235396265983582
real,real_0010.nii.gz,True,True,True,0.0,1.0,0.0796012356877327,0.17149166762828827
real,real_0011.nii.gz,True,True,True,0.0,1.0,0.075081005692482,0.15911765396595
real,real_0012.nii.gz,True,True,True,0.0,1.0,0.07969000935554504,0.17336450517177582
real,real_0013.nii.gz,True,True,True,0.0,1.0,0.05964941531419754,0.1459285467863083
real,real_0014.nii.gz,True,True,True,0.0,1.0,0.0754338800907135,0.15280552208423615
real,real_0015.nii.gz,True,True,True,0.0,1.0,0.11204912513494492,0.2417207509279251
real,real_0016.nii.gz,True,True,True,0.0,1.0,0.06610210239887238,0.13425883650779724
real,real_0017.nii.gz,True,True,True,0.0,1.0,0.09794363379478455,0.21892458200454712
real,real_0018.nii.gz,True,True,True,0.0,1.0,0.10989230871200562,0.25512033700942993
real,real_0019.nii.gz,True,True,True,0.0,1.0,0.10351454466581345,0.2125433385372162
real,real_0020.nii.gz,True,True,True,0.0,1.0,0.10873079299926758,0.21961303055286407
real,real_0021.nii.gz,True,True,True,0.0,1.0,0.047257065773010254,0.1151839941740036
real,real_0022.nii.gz,True,True,True,0.0,1.0,0.09551897644996643,0.19862008094787598
real,real_0023.nii.gz,True,True,True,0.0,1.0,0.08031830936670303,0.17800688743591309
real,real_0024.nii.gz,True,True,True,0.0,1.0,0.06993798911571503,0.14751985669136047
real,real_0025.nii.gz,True,True,True,0.0,1.0,0.055044230073690414,0.13485564291477203
real,real_0026.nii.gz,True,True,True,0.0,1.0,0.08399149775505066,0.17130497097969055
real,real_0027.nii.gz,True,True,True,0.0,1.0,0.04449786990880966,0.10002497583627701
real,real_0028.nii.gz,True,True,True,0.0,1.0,0.10922741144895554,0.22022557258605957
real,real_0029.nii.gz,True,True,True,0.0,1.0,0.06865906715393066,0.15538804233074188
real,real_0030.nii.gz,True,True,True,0.0,1.0,0.09378699213266373,0.20854519307613373
real,real_0031.nii.gz,True,True,True,0.0,1.0,0.07175968587398529,0.1572127342224121
real,real_0032.nii.gz,True,True,True,0.0,1.0,0.08138769865036011,0.17503610253334045
real,real_0033.nii.gz,True,True,True,0.0,1.0,0.06860262900590897,0.14625969529151917
real,real_0034.nii.gz,True,True,True,0.0,1.0,0.10075225681066513,0.22067785263061523
real,real_0035.nii.gz,True,True,True,0.0,1.0,0.07924051582813263,0.16769957542419434
real,real_0036.nii.gz,True,True,True,0.0,1.0,0.07995706051588058,0.1806940883398056
real,real_0037.nii.gz,True,True,True,0.0,1.0,0.06218431517481804,0.14444337785243988
real,real_0038.nii.gz,True,True,True,0.0,1.0,0.07571257650852203,0.16332466900348663
real,real_0039.nii.gz,True,True,True,0.0,1.0,0.08704744279384613,0.19755113124847412
real,real_0040.nii.gz,True,True,True,0.0,1.0,0.0942421406507492,0.2305469661951065
real,real_0041.nii.gz,True,True,True,0.0,1.0,0.06345526874065399,0.1396838277578354
real,real_0042.nii.gz,True,True,True,0.0,1.0,0.0632360652089119,0.13925768435001373
real,real_0043.nii.gz,True,True,True,0.0,1.0,0.07576344162225723,0.16455484926700592
real,real_0044.nii.gz,True,True,True,0.0,1.0,0.06750969588756561,0.14746089279651642
real,real_0045.nii.gz,True,True,True,0.0,1.0,0.06475905328989029,0.14920714497566223
real,real_0046.nii.gz,True,True,True,0.0,1.0,0.08093328773975372,0.1783098578453064
real,real_0047.nii.gz,True,True,True,0.0,1.0,0.10953730344772339,0.22403746843338013
real,real_0048.nii.gz,True,True,True,0.0,1.0,0.07784119993448257,0.16764366626739502
real,real_0049.nii.gz,True,True,True,0.0,1.0,0.051764845848083496,0.11499449610710144
real,real_0050.nii.gz,True,True,True,0.0,1.0,0.07962589710950851,0.17109623551368713
real,real_0051.nii.gz,True,True,True,0.0,1.0,0.048398230224847794,0.12008649855852127
real,real_0052.nii.gz,True,True,True,0.0,1.0,0.08261742442846298,0.17740017175674438
